connector,status_message,link_name
34,आइए आपको बताते हैं लैपटॉप की बैटरी लाइफ बढ़ाने के 6 तरीके...,"ये टिप्स अपनाइए, लैपटॉप की बैटरी लंबी चलेगी"
35,बीजेपी के वरिष्ठ नेता विनय कटियार ने कांग्रेस पर बड़ा हमला बोला है...,जमुना देवी की मंदिर पर बना है जामा मस्जिद: BJP नेता
36,#BLOG: संसदीय जीवन की शुरुआत में ही इतिहास रचने वाले शरद यादव को उनके ही दल ने संसद से बाहर करा दिया...,"मुलायम, शरद और नीतीश: जुड़ने से ज्यादा टूटने के किस्से"
37,अयोध्या का राजा लोग भगवान राम को ही मानते होंगे लेकिन असल में अयोध्या की गद्दी कोई और ही संभाल रहा है...,"ये हैं अयोध्या के मालिक, दर्शन से पहले लें इनकी इजाजत"
38,"बाबरी मस्जिद की 25वीं बरसी, अयोध्या में सुरक्षा के कड़े इंतजाम","बाबरी मस्जिद की 25वीं बरसी, अयोध्या में सुरक्षा के कड़े इंतजाम"
39,दिल्ली टेस्ट में श्री लंकाई बल्लेबाजों ने दिखाया दम। मैच ड्रॉ करवाने में रहे सफल। देखें मैच की पूरी रिपोर्ट,दिल्ली टेस्ट : धनंजय के शतक के दम पर श्री लंका ने बचाया मैच
40,"#BLOG: हां, मैं ब्राह्मण हूं! जन्म से ब्राह्मण, सुना है वो भी सबसे ऊंचा वाला। आज यह लिखने की ज़रूरत...",ऐसे बुलाते रहेंगे तो उसे पीड़ित और मुझे अपराधी बनाते रहेंगे
41,"मुंबई: ओखी तूफान की वजह से दिसंबर में हुई भारी बारिश, टूटा 50 साल का रिकॉर्ड","मुंबई: ओखी तूफान की वजह से दिसंबर में हुई भारी बारिश, टूटा 50 ..."
42,भारत और श्री लंका के बीच दिल्ली टेस्ट ड्रॉ हो गया है। भारत ने तीन मैचों की सीरीज 1-0 से जीत ली है। देखें तीसरे मैच का पूरा स्कोरकार्ड....,"भारत बनाम श्री लंका: तीसरा टेस्ट, स्कोरकार्ड"
43,दिल्ली पुलिस में सिपाही भर्ती के लिए पिछले कुछ दिनों से ऑनलाइन एग्जाम लेने की प्रक्रिया चल रही है। असल खबर आपके होश उड़ा देगी...,दिल्ली पुलिस में सिपाही बनाने का रेट 10 लाख!
44,तीन तलाक के मुद्दे पर ड्राफ्ट का समर्थन सबसे पहले उत्तर प्रदेश ने किया है। केंद्र के ड्राफ्ट के समर्थन में आगे आने वाला यूपी पहला स्टेट है।,तीन तलाक पर केंद्र के ड्राफ्ट के समर्थन में सबसे पहले आया यूपी
45,"जब, दिल्ली आए लंदन के मेयर सादिक खान ने बच्चों से प्रदूषण पर की बातचीत","जब, दिल्ली आए लंदन के मेयर सादिक खान ने बच्चों से प्रदूषण पर क..."
46,पूर्व भारतीय कप्तान महेंद्र सिंह धोनी एक बार फिर इंडियन प्रीमियर लीग (आईपीएल) में चेन्नै सुपरकिंग्स टीम से खेल सकते हैं।,IPL में फिर चेन्नै सुपरकिंग्स की जर्सी में खेलेंगे धोनी!
47,"लॉन्च हुई Apache RR 310, सिर्फ 2.9 सेकंड्स में पकड़ेगी 60kmph की रफ्तार...जानिए कीमत","TVS Apache RR 310 भारत में हुई लॉन्च, जानें कीमत"
48,वीएचपी की केन्द्रीय समिति के सदस्य पुरुषोत्तम नारायण सिंह ने कहा है कि राम मंदिर बनने में 2 साल लग जाएंगे। पढ़ें...,पक्ष में आया फैसला तो भी राम मंदिर बनने में लगेंगे 2 साल
49,नवी मुंबई: 40 फीट गहरी सुरंग खोदकर बैंक में डकैती करने वाले 11 आरोपी गिरफ्तार,नवी मुंबई: 40 फीट गहरी सुरंग खोदकर बैंक में डकैती करने वाले 11...
50,तेज गेंदबाज मिशेल स्टार्क (5/88) की शानदार गेंदबाजी के दम पर ऑस्ट्रेलिया ने इंग्लैंड को दूसरे टेस्ट मैच में 120 रनों से हरा दिया।,एशेज: दूसरा टेस्ट जीत ऑस्ट्रेलिया ने बनाई 2-0 की बढ़त
51,रिजर्व बैंक की छह सदस्यीय मौद्रिक नीति समिति (एमपीसी) ने नीतिगत दरों में कोई बदलाव नहीं किया है।,रिजर्व बैंक ने नहीं घटाईं 'ब्याज दरें'
52,रिजर्व बैंक ने रीपो रेट में नहीं किया कोई बदलाव,रिजर्व बैंक ने रीपो रेट में नहीं किया कोई बदलाव
53,जानें कौन है वह शख्स जिसकी बर्थडे पार्टी में इन स्टार्स ने की खूब मस्ती...,खास दोस्त की पार्टी में कैजुअल लुक में पहुंचे करन-सोनाक्षी
54,पीएम मोदी और बीजेपी की ओर से राम मंदिर निर्माण को रुकवाने की कोशिश के आरोपों के बाद अब सुन्नी वक्फ बोर्ड ने ही सिब्बल से किनारा कर लिया।,"अयोध्या विवाद: चौतरफा घिरे सिब्बल, सुन्नी वक्फ बोर्ड ने भी किया किनारा"
55,अपनी बोल्ड तस्वीर की वजह से चर्चा में हैं शाहरुख की बेटी सुहाना खान...,सोशल मीडिया पर खूब छाई है सुहाना की ग्लैमरस तस्वीर
56,कोयंबटूर-बेंगलुरू के बीच चलने वाली डबल डेकर ट्रेन का दूसरा ट्रायल रन हुआ,कोयंबटूर-बेंगलुरू के बीच चलने वाली डबल डेकर ट्रेन का दूसरा ट्र...
57,"अयोध्या में राम मंदिर क्यों बनना चाहिए, इस मुद्दे पर दिल्ली की जवाहर लाल नेहरू यूनिवर्सिटी यानी जेएनयू में आज रात होने वाली चर्चा रद्द कर दी गई।","जेएनयू ने रद्द की 'अयोध्या में राम मंदिर' चर्चा,  स्वामी भड़के"
58,बच्चे के दिमाग को नुकसान पहुंचा सकता है प्रदूषण: UNICEF,बच्चे के दिमाग को नुकसान पहुंचा सकता है प्रदूषण: UNICEF
59,"जल्द ही सूर्य कर रहे हैं धनु राशि में प्रवेश, 1 महीने तक नहीं होंगे ये शुभ कार्य",hindi.speakingtree.in
60,वाहन निर्माता कंपनी महिंद्रा ने घरेलू मार्केट में XUV500 का पेट्रोल वेरियंट लॉन्च कर दिया है। जानें इसकी कीमत और खूबियां...,महिंद्रा ने XUV500 का पेट्रोल वेरियंट किया लॉन्च
61,कभी डेरा सच्चा सौदा की दूसरी सबसे ताकतवर शख्स कही जाने वाली हनीप्रीत के पास अब केस लड़ने के लिए भी पैसे नहीं हैं।,"हनीप्रीत: कभी थी डेरे की 'रानी', अब रुपयों के लिए मोहताज"
62,आप ही बताइए इससे ज्यादा खतरा कोई ले सकता है क्या...🤣😂🤣,मजेदार तस्वीरें: ये लोग हैं असली खतरों के खिलाड़ी!
63,अब पुणे में चलाएं एक रुपये में हाईटेक साइकिल,अब पुणे में चलाएं एक रुपये में हाईटेक साइकिल
64,मानसरोवर पार्क में इस साल की सबसे बड़ी मर्डर मिस्ट्री के मामले में दिल्ली पुलिस की क्राइम ब्रांच ने बड़ी सफलता हासिल की। आरोपियों के नाम जानकर चौंक जाएंगे...,दिल्ली: सुलझ गई साल की सबसे बड़ी मर्डर मिस्ट्री
65,"पौराणिक प्रेम कथाएंः प्रेमी ने ठुकराया भीष्म ने भी नहीं अपनाया, अपमान की आग में सुलगती अंबा ने लिया यह फैसला...

via NBT Religion",अंबा का प्रेम बना भरतवंश के विनाश का कारण
66,मुस्लिम लड़कियों के 'फ्लैश मॉब' का समर्थन करने वाले RJ को मिली मौत की धमकी,मुस्लिम लड़कियों के 'फ्लैश मॉब' का समर्थन करने वाले RJ को मिली...
67,भले ही अभी सुप्रीम कोर्ट की ओर से अयोध्या के विवादित स्थल को लेकर फैसला आने में वक्त लगने वाला हो लेकिन विश्व हिंदू परिषद के जेहन में राम मंदिर का खाका स्पष्ट है। देखें...,देखें: ऐसा है वीएचपी के सपनों का 'राम मंदिर'
68,"गूगल लाया 'मोटरसाइकल मोड', जानें क्या है फायदे...",बाइकर्स के लिए गूगल लेकर आया मैप्स में नया मोड
69,मैक्स हॉस्पिटल के डॉक्टरों ने जिस नवजात को 'मृत' घोषित किया था उसने आज सच में दम तोड़ दिया।,मैक्स लापरवाही केस : जिंदा नहीं बचा 'मृत' घोषित किया गया नवजात
70,बेंगलुरु: ड्राइवर ने कैब को लॉक कर युवती से की छेड़छाड़,बेंगलुरु: ड्राइवर ने कैब को लॉक कर युवती से की छेड़छाड़
71,#ElectionWithTimes गुजरात विधानसभा चुनाव में बीजेपी के प्रचार में जुटे प्रधानमंत्री Narendra Modi  ने धांधुका से रैली के दौरान राम मंदिर मुद्दे को लेकर कपिल सिब्बल पर निशाना साधा।,अयोध्या: सिब्बल की सुनवाई टालने की दलील पर मोदी का हमला
72,गलत आंकड़ों वाले ट्वीट पर ट्रोल होने के बाद राहुल ने किया BJP पर तंज,गलत आंकड़ों वाले ट्वीट पर राहुल का BJP पर तंज
